enrollment_id,student_id,course_id,enrollment_date,progress_percent,completion_status,rating
33,63,20,2022-07-20T00:00:00.000Z,38.76,In Progress,
34,13,8,2022-08-31T00:00:00.000Z,30.55,In Progress,1.8
35,27,9,2022-09-14T00:00:00.000Z,57.85,In Progress,
36,214,13,2023-04-03T00:00:00.000Z,24.2,In Progress,3
37,83,8,2023-12-28T00:00:00.000Z,100,Completed,4.5
38,247,17,2024-11-16T00:00:00.000Z,100,Completed,5
39,207,1,2022-12-06T00:00:00.000Z,1.09,In Progress,
40,168,5,2022-10-17T00:00:00.000Z,100,Completed,
41,42,7,2023-08-06T00:00:00.000Z,100,Completed,
42,191,8,2023-12-02T00:00:00.000Z,100,Completed,
43,138,17,2022-08-02T00:00:00.000Z,100,Completed,3.8
44,101,11,2022-09-06T00:00:00.000Z,100,Completed,
45,240,10,2022-07-15T00:00:00.000Z,100,Completed,
46,65,20,2022-05-10T00:00:00.000Z,40.87,In Progress,
47,120,5,2024-05-06T00:00:00.000Z,33.02,In Progress,
48,131,6,2023-07-14T00:00:00.000Z,100,Completed,
49,274,13,2024-02-11T00:00:00.000Z,38.94,In Progress,1.4
50,57,20,2023-02-13T00:00:00.000Z,100,Completed,
51,12,12,2023-01-07T00:00:00.000Z,8.28,In Progress,3.7
52,64,11,2023-04-29T00:00:00.000Z,47.37,In Progress,
53,11,11,2023-06-09T00:00:00.000Z,4.94,In Progress,3.9
54,175,14,2022-02-03T00:00:00.000Z,53.79,In Progress,
55,229,20,2022-01-28T00:00:00.000Z,28.05,In Progress,
56,251,9,2024-02-28T00:00:00.000Z,100,Completed,3.6
57,108,2,2023-10-15T00:00:00.000Z,100,Completed,1
58,253,18,2022-11-29T00:00:00.000Z,100,Completed,
59,249,16,2024-06-09T00:00:00.000Z,100,Completed,
60,280,17,2022-06-11T00:00:00.000Z,33.39,In Progress,
61,20,11,2024-01-23T00:00:00.000Z,100,Completed,
62,78,4,2023-10-15T00:00:00.000Z,100,Completed,
63,212,19,2022-03-18T00:00:00.000Z,100,Completed,
64,44,9,2024-04-18T00:00:00.000Z,3.67,In Progress,
65,47,9,2022-04-06T00:00:00.000Z,43.68,In Progress,3.9
66,138,17,2022-07-28T00:00:00.000Z,44.13,In Progress,
67,150,13,2023-02-12T00:00:00.000Z,100,Completed,
68,31,4,2023-04-26T00:00:00.000Z,42.88,In Progress,
69,239,2,2022-01-24T00:00:00.000Z,4.81,In Progress,
70,171,2,2024-04-07T00:00:00.000Z,100,Completed,3.9
71,243,13,2024-10-23T00:00:00.000Z,5.49,In Progress,
72,98,6,2023-09-22T00:00:00.000Z,57.54,In Progress,
73,95,17,2024-03-19T00:00:00.000Z,100,Completed,
74,105,12,2022-01-13T00:00:00.000Z,44.33,In Progress,
75,274,3,2022-05-09T00:00:00.000Z,100,Completed,2.2
76,171,19,2023-11-10T00:00:00.000Z,17.52,In Progress,
77,236,12,2024-02-05T00:00:00.000Z,23.62,In Progress,2.2
78,181,8,2024-10-24T00:00:00.000Z,11.56,In Progress,1.9
79,160,18,2023-05-25T00:00:00.000Z,100,Completed,
80,130,11,2023-12-19T00:00:00.000Z,21.46,In Progress,
81,276,13,2023-08-28T00:00:00.000Z,100,Completed,
82,25,18,2024-03-23T00:00:00.000Z,100,Completed,
83,235,13,2023-08-29T00:00:00.000Z,48.02,In Progress,
84,45,13,2024-04-02T00:00:00.000Z,14.28,In Progress,4.1
85,101,19,2024-07-28T00:00:00.000Z,35.87,In Progress,
86,70,15,2024-04-11T00:00:00.000Z,100,Completed,
87,207,1,2024-03-11T00:00:00.000Z,15.27,In Progress,4.4
88,151,17,2023-08-01T00:00:00.000Z,100,Completed,
89,299,19,2024-04-11T00:00:00.000Z,100,Completed,4.6
90,13,14,2022-03-24T00:00:00.000Z,14.42,In Progress,
91,140,10,2022-01-08T00:00:00.000Z,100,Completed,4.3
92,243,6,2024-11-14T00:00:00.000Z,100,Completed,3
93,36,19,2023-12-31T00:00:00.000Z,99.26,Active,3.4
94,80,15,2023-02-03T00:00:00.000Z,35.37,In Progress,1.3
95,65,5,2024-08-29T00:00:00.000Z,100,Completed,
96,71,17,2024-06-17T00:00:00.000Z,50.33,In Progress,2.2
97,286,12,2022-11-01T00:00:00.000Z,100,Completed,
98,219,18,2024-02-13T00:00:00.000Z,100,Completed,1.6
99,206,8,2024-01-04T00:00:00.000Z,100,Completed,
100,225,11,2024-03-17T00:00:00.000Z,40.4,In Progress,1
101,20,19,2023-12-08T00:00:00.000Z,100,Completed,4.4
102,195,13,2024-05-28T00:00:00.000Z,15.15,In Progress,
103,10,5,2023-01-06T00:00:00.000Z,100,Completed,
104,243,5,2023-09-04T00:00:00.000Z,100,Completed,
105,95,4,2023-02-14T00:00:00.000Z,100,Completed,
106,246,19,2022-05-08T00:00:00.000Z,100,Completed,4.8
107,259,9,2023-07-16T00:00:00.000Z,28.22,In Progress,
108,128,16,2024-07-19T00:00:00.000Z,1.11,In Progress,4.3
109,19,20,2023-05-10T00:00:00.000Z,2.89,In Progress,
110,115,13,2023-06-26T00:00:00.000Z,43.48,In Progress,
111,163,12,2023-08-07T00:00:00.000Z,47.47,In Progress,
112,18,6,2023-12-17T00:00:00.000Z,24.86,In Progress,
113,23,18,2023-11-22T00:00:00.000Z,20.05,In Progress,
114,254,4,2022-04-21T00:00:00.000Z,2.52,In Progress,3.7
115,82,12,2023-05-04T00:00:00.000Z,2.73,In Progress,
116,45,9,2024-02-22T00:00:00.000Z,100,Completed,
117,55,18,2022-10-13T00:00:00.000Z,41.9,In Progress,
118,270,14,2024-08-30T00:00:00.000Z,100,Completed,
119,195,5,2022-08-11T00:00:00.000Z,31.86,In Progress,3.7
120,87,9,2022-09-26T00:00:00.000Z,25.36,In Progress,
121,45,10,2023-02-15T00:00:00.000Z,7.86,In Progress,
122,128,14,2022-10-07T00:00:00.000Z,46.9,In Progress,
123,232,9,2023-08-21T00:00:00.000Z,41.87,In Progress,
124,143,3,2022-03-24T00:00:00.000Z,100,Completed,3.5
125,17,20,2022-06-17T00:00:00.000Z,100,Completed,
126,41,13,2024-10-11T00:00:00.000Z,2.96,In Progress,
127,283,15,2023-11-21T00:00:00.000Z,36.22,In Progress,4.1
128,88,6,2022-03-14T00:00:00.000Z,43.62,In Progress,
129,74,12,2022-11-02T00:00:00.000Z,43.16,In Progress,1.4
130,205,19,2024-07-07T00:00:00.000Z,100,Completed,
131,265,15,2024-02-11T00:00:00.000Z,5.88,In Progress,
132,247,1,2023-09-28T00:00:00.000Z,100,Completed,
133,115,2,2024-09-30T00:00:00.000Z,100,Completed,
134,165,17,2022-01-11T00:00:00.000Z,100,Completed,1.2
135,52,6,2024-11-13T00:00:00.000Z,33.34,In Progress,
136,18,14,2023-03-25T00:00:00.000Z,100,Completed,1
137,251,17,2023-09-21T00:00:00.000Z,4.41,In Progress,
138,106,16,2024-05-04T00:00:00.000Z,16.38,In Progress,
139,75,8,2022-10-28T00:00:00.000Z,100,Completed,
140,10,10,2024-05-08T00:00:00.000Z,100,Completed,
141,147,19,2024-04-25T00:00:00.000Z,40.79,In Progress,
142,211,9,2022-12-21T00:00:00.000Z,26.48,In Progress,
143,19,2,2022-03-11T00:00:00.000Z,19.37,In Progress,3.3
144,218,2,2024-12-08T00:00:00.000Z,48.3,In Progress,
145,16,6,2022-01-23T00:00:00.000Z,22.28,In Progress,4.4
146,19,20,2023-03-30T00:00:00.000Z,99.84,Active,1.8
147,123,13,2024-02-04T00:00:00.000Z,100,Completed,
148,150,13,2022-09-17T00:00:00.000Z,17.23,In Progress,4.9
149,229,17,2024-11-24T00:00:00.000Z,44.74,In Progress,
150,78,3,2023-10-02T00:00:00.000Z,49.86,In Progress,
151,120,18,2024-04-05T00:00:00.000Z,8.93,In Progress,4.3
152,170,10,2022-10-23T00:00:00.000Z,41.49,In Progress,
153,229,18,2022-01-15T00:00:00.000Z,28.07,In Progress,4.3
154,7,2,2022-08-16T00:00:00.000Z,40.5,In Progress,
155,45,15,2022-09-04T00:00:00.000Z,100,Completed,
156,130,2,2023-04-29T00:00:00.000Z,59.08,Not Started,2.4
157,53,10,2024-07-30T00:00:00.000Z,58.83,In Progress,
158,160,13,2023-08-17T00:00:00.000Z,39.7,In Progress,
159,146,16,2022-02-25T00:00:00.000Z,100,Completed,1.7
160,216,1,2022-01-07T00:00:00.000Z,5.42,In Progress,1.9
161,297,7,2024-07-10T00:00:00.000Z,17.97,In Progress,
162,273,3,2022-07-16T00:00:00.000Z,100,Completed,2.8
163,142,11,2022-04-02T00:00:00.000Z,100,Completed,
164,176,7,2022-03-26T00:00:00.000Z,59.37,Not Started,
165,122,19,2022-04-06T00:00:00.000Z,59.97,Not Started,3.3
166,259,12,2024-05-13T00:00:00.000Z,44.28,In Progress,
167,174,9,2022-09-07T00:00:00.000Z,52.96,In Progress,
168,43,11,2024-11-01T00:00:00.000Z,52.16,In Progress,
169,51,18,2023-12-04T00:00:00.000Z,0.89,Not Started,1.2
170,263,15,2023-10-12T00:00:00.000Z,3.83,In Progress,
171,34,8,2022-07-28T00:00:00.000Z,100,Completed,
172,217,5,2022-11-29T00:00:00.000Z,58.05,In Progress,3.8
173,195,14,2024-03-16T00:00:00.000Z,100,Completed,1.6
174,4,15,2024-06-26T00:00:00.000Z,47.85,In Progress,1.4
175,203,13,2024-06-26T00:00:00.000Z,100,Completed,
176,207,14,2022-06-27T00:00:00.000Z,38.16,In Progress,
177,154,12,2024-07-18T00:00:00.000Z,54.28,In Progress,
178,145,4,2023-08-22T00:00:00.000Z,100,Completed,
179,269,7,2022-04-19T00:00:00.000Z,44.63,In Progress,4.8
180,168,18,2023-02-18T00:00:00.000Z,38.53,In Progress,
181,171,1,2023-11-04T00:00:00.000Z,100,Completed,3.3
182,24,15,2024-11-10T00:00:00.000Z,33.47,In Progress,
183,58,9,2024-02-05T00:00:00.000Z,99.06,Active,
184,215,9,2022-02-27T00:00:00.000Z,100,Completed,
185,291,13,2022-04-11T00:00:00.000Z,100,Completed,
186,127,10,2022-07-28T00:00:00.000Z,2.27,In Progress,
187,125,1,2023-06-29T00:00:00.000Z,27.76,In Progress,
188,56,7,2022-05-01T00:00:00.000Z,44.79,In Progress,3.3
189,4,15,2022-12-14T00:00:00.000Z,100,Completed,
190,164,16,2024-05-16T00:00:00.000Z,14.53,In Progress,3.2
191,168,6,2024-01-26T00:00:00.000Z,100,Completed,
192,29,7,2022-05-02T00:00:00.000Z,100,Completed,1.6
193,31,12,2024-02-22T00:00:00.000Z,11.14,In Progress,
194,91,7,2024-02-09T00:00:00.000Z,100,Completed,2.8
195,135,10,2022-03-14T00:00:00.000Z,43.88,In Progress,2.1
196,186,19,2024-01-17T00:00:00.000Z,22.2,In Progress,
197,282,20,2023-04-16T00:00:00.000Z,100,Completed,1.6
198,230,8,2023-08-03T00:00:00.000Z,100,Completed,3.4
199,287,16,2024-08-09T00:00:00.000Z,33.43,In Progress,2.8
200,194,10,2022-01-30T00:00:00.000Z,100,Completed,1.7
201,232,6,2022-05-04T00:00:00.000Z,25.33,In Progress,1.5
202,41,7,2023-04-18T00:00:00.000Z,19.86,In Progress,1
203,151,11,2023-03-09T00:00:00.000Z,100,Completed,
204,275,1,2024-10-22T00:00:00.000Z,100,Completed,
205,25,5,2022-07-24T00:00:00.000Z,100,Completed,4.7
206,266,15,2023-05-03T00:00:00.000Z,35.89,In Progress,
207,270,19,2022-02-05T00:00:00.000Z,17.63,In Progress,
208,230,17,2024-05-02T00:00:00.000Z,100,Completed,
209,77,6,2022-08-28T00:00:00.000Z,2.14,In Progress,
210,78,18,2024-05-24T00:00:00.000Z,100,Completed,4.3
211,163,20,2023-05-27T00:00:00.000Z,100,Completed,
212,162,3,2023-12-14T00:00:00.000Z,100,Completed,
213,25,3,2024-09-24T00:00:00.000Z,54.74,In Progress,
214,185,15,2022-09-20T00:00:00.000Z,43.08,In Progress,3.8
215,253,14,2024-03-17T00:00:00.000Z,100,Completed,3.1
216,255,3,2024-06-25T00:00:00.000Z,4.09,In Progress,
217,159,5,2024-06-24T00:00:00.000Z,100,Completed,
218,29,2,2023-05-10T00:00:00.000Z,37.02,In Progress,
219,34,19,2024-07-05T00:00:00.000Z,49.56,In Progress,3.7
220,225,2,2022-11-24T00:00:00.000Z,100,Completed,
221,186,3,2023-01-19T00:00:00.000Z,11.85,In Progress,
222,149,16,2023-09-30T00:00:00.000Z,100,Completed,
223,239,20,2023-01-04T00:00:00.000Z,32.77,In Progress,
224,185,14,2023-12-03T00:00:00.000Z,32.1,In Progress,
225,206,2,2024-05-05T00:00:00.000Z,100,Completed,
226,75,5,2023-06-01T00:00:00.000Z,100,Completed,
227,219,20,2022-12-20T00:00:00.000Z,18.92,In Progress,
228,234,7,2023-04-18T00:00:00.000Z,27.03,In Progress,4.3
229,179,12,2022-03-07T00:00:00.000Z,32.95,In Progress,
230,89,6,2024-05-26T00:00:00.000Z,100,Completed,
231,84,4,2022-10-16T00:00:00.000Z,1.73,In Progress,
232,185,18,2022-08-19T00:00:00.000Z,10.1,In Progress,
233,125,1,2024-12-24T00:00:00.000Z,10.29,In Progress,
234,135,16,2024-11-14T00:00:00.000Z,9.31,In Progress,
235,90,3,2023-06-24T00:00:00.000Z,100,Completed,
236,242,7,2022-02-20T00:00:00.000Z,53.37,In Progress,
237,200,19,2022-06-24T00:00:00.000Z,30.73,In Progress,
238,57,1,2022-03-26T00:00:00.000Z,22.02,In Progress,
239,286,9,2022-09-12T00:00:00.000Z,10.01,In Progress,
240,69,7,2023-09-30T00:00:00.000Z,29.94,In Progress,
241,226,17,2024-06-11T00:00:00.000Z,100,Completed,
242,142,6,2023-06-30T00:00:00.000Z,25.35,In Progress,
243,211,17,2022-06-09T00:00:00.000Z,46.37,In Progress,
244,47,14,2023-01-12T00:00:00.000Z,100,Completed,1.4
245,227,18,2024-01-02T00:00:00.000Z,100,Completed,
246,55,17,2023-07-30T00:00:00.000Z,100,Completed,
247,57,14,2024-02-16T00:00:00.000Z,100,Completed,
248,246,6,2024-02-09T00:00:00.000Z,49.47,In Progress,
249,104,10,2022-04-20T00:00:00.000Z,100,Completed,
250,36,20,2023-07-05T00:00:00.000Z,37.36,In Progress,3.4
251,9,20,2023-06-21T00:00:00.000Z,31.41,In Progress,
252,195,18,2022-11-17T00:00:00.000Z,100,Completed,
253,39,6,2024-11-21T00:00:00.000Z,21.7,In Progress,
254,13,2,2024-11-16T00:00:00.000Z,100,Completed,
255,98,9,2023-11-07T00:00:00.000Z,38.82,In Progress,
256,192,8,2022-03-18T00:00:00.000Z,7.53,In Progress,
257,250,9,2024-09-18T00:00:00.000Z,100,Completed,2.9
258,280,3,2024-03-30T00:00:00.000Z,6.73,In Progress,3.6
259,43,7,2023-11-20T00:00:00.000Z,39.95,In Progress,
260,19,5,2024-01-07T00:00:00.000Z,100,Completed,5
261,260,19,2023-09-03T00:00:00.000Z,44.35,In Progress,3
262,15,12,2024-05-04T00:00:00.000Z,100,Completed,
263,268,10,2022-11-30T00:00:00.000Z,5.23,In Progress,
264,181,17,2024-10-24T00:00:00.000Z,2.42,In Progress,
265,33,5,2022-11-29T00:00:00.000Z,21.26,In Progress,
266,239,19,2022-03-06T00:00:00.000Z,0.34,Not Started,
267,228,4,2022-11-03T00:00:00.000Z,33.84,In Progress,
268,291,12,2022-03-25T00:00:00.000Z,41.93,In Progress,
269,59,20,2024-03-11T00:00:00.000Z,26.28,In Progress,
270,66,5,2022-11-09T00:00:00.000Z,29.22,In Progress,
271,160,1,2024-08-31T00:00:00.000Z,1.8,In Progress,
272,270,6,2024-03-30T00:00:00.000Z,100,Completed,
273,153,3,2022-07-06T00:00:00.000Z,100,Completed,
274,33,15,2024-07-04T00:00:00.000Z,100,Completed,1.6
275,58,6,2022-10-30T00:00:00.000Z,100,Completed,2.3
276,45,4,2024-01-21T00:00:00.000Z,100,Completed,
277,40,3,2022-04-04T00:00:00.000Z,51.41,In Progress,2.1
278,46,9,2022-08-18T00:00:00.000Z,9.3,In Progress,3.2
279,274,20,2022-09-20T00:00:00.000Z,39.6,In Progress,
280,198,15,2022-12-18T00:00:00.000Z,19.16,In Progress,
281,174,13,2022-08-04T00:00:00.000Z,49.84,In Progress,
282,195,20,2023-05-16T00:00:00.000Z,100,Completed,
283,300,1,2023-12-05T00:00:00.000Z,44.01,In Progress,
284,217,14,2023-06-06T00:00:00.000Z,100,Completed,
285,293,1,2022-02-25T00:00:00.000Z,100,Completed,
286,196,13,2023-07-10T00:00:00.000Z,32.53,In Progress,
287,208,18,2022-02-11T00:00:00.000Z,41.74,In Progress,
288,55,20,2022-02-01T00:00:00.000Z,43.35,In Progress,
289,53,6,2022-06-26T00:00:00.000Z,18.89,In Progress,4.7
290,191,3,2024-12-24T00:00:00.000Z,34.28,In Progress,
291,256,2,2023-02-13T00:00:00.000Z,25.79,In Progress,
292,4,12,2022-04-21T00:00:00.000Z,100,Completed,
293,298,13,2023-12-13T00:00:00.000Z,100,Completed,
294,17,11,2022-11-07T00:00:00.000Z,100,Completed,4.1
295,219,5,2022-08-11T00:00:00.000Z,100,Completed,4.5
296,228,4,2024-02-02T00:00:00.000Z,100,Completed,
297,165,18,2023-08-03T00:00:00.000Z,100,Completed,
298,68,3,2024-04-13T00:00:00.000Z,0.41,Not Started,
299,265,14,2023-01-05T00:00:00.000Z,47.26,In Progress,
300,154,11,2023-05-30T00:00:00.000Z,14.59,In Progress,
301,266,19,2023-09-07T00:00:00.000Z,100,Completed,
302,175,10,2023-09-13T00:00:00.000Z,40.11,In Progress,
303,113,5,2022-03-22T00:00:00.000Z,52.54,In Progress,
304,233,3,2022-05-04T00:00:00.000Z,100,Completed,
305,28,4,2023-06-01T00:00:00.000Z,9.41,In Progress,1.4
306,100,1,2023-03-12T00:00:00.000Z,100,Completed,
307,215,19,2024-12-10T00:00:00.000Z,21.04,In Progress,2.4
308,291,16,2022-06-12T00:00:00.000Z,31.81,In Progress,
309,13,17,2022-03-05T00:00:00.000Z,58.55,In Progress,2.3
310,9,3,2023-07-31T00:00:00.000Z,31.93,In Progress,1.9
311,289,1,2023-01-20T00:00:00.000Z,11.54,In Progress,
312,26,18,2024-07-27T00:00:00.000Z,100,Completed,
313,54,5,2024-06-12T00:00:00.000Z,42.56,In Progress,
314,235,15,2024-05-22T00:00:00.000Z,99.99,Active,2.9
315,14,8,2022-05-06T00:00:00.000Z,100,Completed,3.3
316,211,17,2022-01-01T00:00:00.000Z,24.67,In Progress,3.2
317,72,18,2024-09-04T00:00:00.000Z,5.7,In Progress,3.2
318,248,16,2023-10-08T00:00:00.000Z,26.01,In Progress,4.5
319,60,4,2024-06-16T00:00:00.000Z,57.08,In Progress,
320,279,3,2024-09-18T00:00:00.000Z,17.78,In Progress,2.2
321,75,11,2023-06-11T00:00:00.000Z,99.11,Active,
322,205,16,2024-10-20T00:00:00.000Z,33.06,In Progress,
323,92,20,2023-05-22T00:00:00.000Z,36.94,In Progress,
324,183,12,2022-01-15T00:00:00.000Z,100,Completed,
325,77,1,2024-07-01T00:00:00.000Z,100,Completed,
326,40,3,2024-05-28T00:00:00.000Z,39.56,In Progress,
327,94,16,2024-05-18T00:00:00.000Z,2.23,In Progress,
328,191,8,2022-02-21T00:00:00.000Z,100,Completed,
329,4,16,2023-07-08T00:00:00.000Z,33.45,In Progress,
330,29,4,2022-10-17T00:00:00.000Z,100,Completed,4
331,110,2,2023-06-18T00:00:00.000Z,9.96,In Progress,
332,1,6,2024-08-12T00:00:00.000Z,19.06,In Progress,1.1
333,182,17,2024-02-28T00:00:00.000Z,100,Completed,
334,121,13,2024-02-28T00:00:00.000Z,100,Completed,1.5
335,24,19,2023-06-30T00:00:00.000Z,100,Completed,
336,20,7,2023-02-12T00:00:00.000Z,8.19,In Progress,2.2
337,44,16,2022-11-16T00:00:00.000Z,47.5,In Progress,3.6
338,41,19,2022-10-21T00:00:00.000Z,14.04,In Progress,3.1
339,61,17,2022-03-07T00:00:00.000Z,50.39,In Progress,2.4
340,163,9,2024-11-28T00:00:00.000Z,100,Completed,
341,250,17,2024-08-18T00:00:00.000Z,57.53,In Progress,
342,179,5,2022-11-12T00:00:00.000Z,100,Completed,
343,99,11,2022-07-28T00:00:00.000Z,0.36,Not Started,
344,146,10,2023-01-01T00:00:00.000Z,100,Completed,
345,205,16,2023-10-09T00:00:00.000Z,100,Completed,
346,131,16,2023-06-11T00:00:00.000Z,46.83,In Progress,
347,19,14,2024-12-05T00:00:00.000Z,100,Completed,
348,136,19,2023-07-29T00:00:00.000Z,100,Completed,2.8
349,133,16,2023-06-23T00:00:00.000Z,55.38,In Progress,2.8
350,257,2,2022-04-12T00:00:00.000Z,4.17,In Progress,
351,73,15,2022-09-14T00:00:00.000Z,27.05,In Progress,
352,17,2,2022-02-21T00:00:00.000Z,100,Completed,3.8
353,27,19,2023-10-23T00:00:00.000Z,29.62,In Progress,
354,147,3,2023-05-04T00:00:00.000Z,5.15,In Progress,2.7
355,35,3,2023-08-20T00:00:00.000Z,99.7,Active,
356,4,4,2023-05-16T00:00:00.000Z,40.9,In Progress,
357,20,7,2023-03-25T00:00:00.000Z,21.18,In Progress,2
358,212,5,2022-10-25T00:00:00.000Z,11.05,In Progress,
359,113,3,2022-07-09T00:00:00.000Z,9.5,In Progress,
360,296,14,2023-08-14T00:00:00.000Z,7.72,In Progress,
361,211,12,2023-03-14T00:00:00.000Z,37.99,In Progress,
362,242,19,2024-08-02T00:00:00.000Z,100,Completed,1.4
363,74,19,2024-08-01T00:00:00.000Z,21.25,In Progress,
364,251,15,2023-05-17T00:00:00.000Z,49.19,In Progress,1.5
365,139,19,2022-12-01T00:00:00.000Z,57.74,In Progress,
366,23,4,2022-10-22T00:00:00.000Z,100,Completed,
367,217,3,2023-09-07T00:00:00.000Z,1.52,In Progress,4.4
368,72,7,2024-12-02T00:00:00.000Z,100,Completed,
369,298,13,2024-12-25T00:00:00.000Z,100,Completed,
370,201,20,2023-11-10T00:00:00.000Z,100,Completed,
371,67,15,2024-06-27T00:00:00.000Z,100,Completed,
372,211,1,2023-02-06T00:00:00.000Z,31.55,In Progress,
373,148,13,2022-05-26T00:00:00.000Z,41.39,In Progress,
374,116,12,2023-06-03T00:00:00.000Z,41.7,In Progress,
375,38,14,2022-09-23T00:00:00.000Z,100,Completed,
376,291,15,2023-07-29T00:00:00.000Z,56.08,In Progress,4.7
377,98,15,2024-03-24T00:00:00.000Z,46.99,In Progress,2.4
378,132,17,2024-05-13T00:00:00.000Z,100,Completed,
379,57,10,2023-12-18T00:00:00.000Z,56.08,In Progress,2.2
380,160,20,2023-07-16T00:00:00.000Z,46.87,In Progress,
381,92,3,2023-12-18T00:00:00.000Z,49.7,In Progress,
382,237,20,2022-04-12T00:00:00.000Z,22.57,In Progress,
383,3,3,2022-12-03T00:00:00.000Z,24.16,In Progress,3.5
384,127,8,2023-11-23T00:00:00.000Z,45.98,In Progress,
385,21,6,2022-11-28T00:00:00.000Z,39.39,In Progress,
386,16,12,2024-02-02T00:00:00.000Z,100,Completed,3.1
387,267,8,2024-05-04T00:00:00.000Z,100,Completed,
388,109,16,2024-09-06T00:00:00.000Z,8.62,In Progress,
389,102,16,2023-12-10T00:00:00.000Z,100,Completed,
390,140,4,2022-05-16T00:00:00.000Z,29.19,In Progress,
391,37,14,2023-11-17T00:00:00.000Z,56.11,In Progress,3.4
392,23,10,2023-04-07T00:00:00.000Z,1.48,In Progress,
393,271,7,2024-11-09T00:00:00.000Z,100,Completed,1.1
394,153,3,2022-01-26T00:00:00.000Z,100,Completed,
395,100,5,2022-02-14T00:00:00.000Z,3.95,In Progress,4.4
396,216,16,2023-06-13T00:00:00.000Z,16.78,In Progress,4.5
397,15,14,2022-03-10T00:00:00.000Z,46.36,In Progress,
398,110,11,2024-11-07T00:00:00.000Z,51.72,In Progress,
399,148,16,2023-12-22T00:00:00.000Z,32.66,In Progress,
400,144,8,2024-02-17T00:00:00.000Z,100,Completed,3
401,221,4,2023-06-26T00:00:00.000Z,48.69,In Progress,
402,157,17,2022-03-26T00:00:00.000Z,59.92,Not Started,
403,218,7,2024-09-22T00:00:00.000Z,18.55,In Progress,
404,78,6,2023-06-02T00:00:00.000Z,1.22,In Progress,
405,294,17,2022-04-15T00:00:00.000Z,36.93,In Progress,4.2
406,16,15,2022-12-30T00:00:00.000Z,11.61,In Progress,
407,49,14,2023-09-01T00:00:00.000Z,100,Completed,
408,54,4,2022-07-22T00:00:00.000Z,100,Completed,
409,238,11,2022-05-19T00:00:00.000Z,17.54,In Progress,3.2
410,132,7,2023-04-17T00:00:00.000Z,55.91,In Progress,
411,9,9,2022-04-13T00:00:00.000Z,100,Completed,3.5
412,177,8,2022-03-21T00:00:00.000Z,99.54,Active,
413,69,3,2024-10-27T00:00:00.000Z,100,Completed,
414,139,13,2023-02-15T00:00:00.000Z,17.04,In Progress,
415,64,1,2024-02-24T00:00:00.000Z,100,Completed,4.7
416,139,7,2023-08-25T00:00:00.000Z,35.73,In Progress,
417,40,16,2024-08-08T00:00:00.000Z,52.26,In Progress,
418,205,18,2024-04-13T00:00:00.000Z,21.82,In Progress,
419,21,2,2024-10-31T00:00:00.000Z,100,Completed,
420,36,9,2022-09-21T00:00:00.000Z,19.26,In Progress,1.3
421,153,9,2022-01-01T00:00:00.000Z,23.29,In Progress,
422,243,12,2022-01-06T00:00:00.000Z,47.14,In Progress,
423,154,13,2023-12-29T00:00:00.000Z,100,Completed,
424,250,14,2022-05-27T00:00:00.000Z,54.02,In Progress,
425,153,5,2022-02-16T00:00:00.000Z,100,Completed,
